season,week,contestant,method,judges_score,is_eliminated,mean_fan_vote,ci_lower,ci_upper
1,2,John O'Hurley,rank,26.0,False,0.1828526003458693,0.016118383352683712,0.3785050490481021
1,2,Kelly Monaco,rank,17.0,False,0.20563791814450746,0.043360226869288955,0.4191012919784564
1,2,Evander Holyfield,rank,14.0,False,0.2544228155547711,0.0832647262795447,0.5786041223272785
1,2,Rachel Hunter,rank,24.0,False,0.10425336930466636,0.014216980434170322,0.260340899238008
1,2,Joey McIntyre,rank,21.0,False,0.20428176534470383,0.04110432175415393,0.4590097318720009
1,2,Trista Sutter,rank,19.0,True,0.04855153130548216,0.0006178585615260433,0.11895472534903494
1,3,John O'Hurley,rank,24.0,False,0.20978505770516045,0.013998201394783824,0.45005973495925283
1,3,Kelly Monaco,rank,21.0,False,0.23732679400555223,0.03829574176517252,0.49134441183948574
1,3,Evander Holyfield,rank,13.0,True,0.09552307128706224,0.0054631634837127175,0.2115652696090966
1,3,Rachel Hunter,rank,26.0,False,0.197937462842941,0.017260804662569837,0.41646452127552247
1,3,Joey McIntyre,rank,22.0,False,0.2594276141592834,0.03347835110998852,0.6072671730878554
1,4,John O'Hurley,rank,21.0,False,0.29067817241127875,0.11452619342500178,0.5240099735898557
1,4,Kelly Monaco,rank,26.0,False,0.23296586468368183,0.06434280075961603,0.4974243424574031
1,4,Rachel Hunter,rank,25.0,True,0.07828154123056588,0.006063377976345487,0.1826074032466411
1,4,Joey McIntyre,rank,20.0,False,0.39807442167447227,0.21508131958899968,0.5976849833583473
1,5,John O'Hurley,rank,27.0,False,0.25169557582939345,0.022722017061092677,0.4556013787713536
1,5,Kelly Monaco,rank,23.5,False,0.5743385706068248,0.38562468290623686,0.824110578784127
1,5,Joey McIntyre,rank,22.5,False,0.17396585356378125,0.013110977657346277,0.4160853664961986
1,6,John O'Hurley,rank,27.0,False,0.23821921646747676,0.026751296442481105,0.4875664527167858
1,6,Kelly Monaco,rank,27.5,False,0.7617807835325228,0.5124335472832128,0.9732487035575194
2,1,Tatum O'Neal,rank,23.0,False,0.09219930969994121,-0.017976575795881664,0.20638169668279155
2,1,Tia Carrere,rank,20.0,False,0.08790659195707401,0.004967930805973193,0.2016880775827691
2,1,George Hamilton,rank,18.0,False,0.16424083873784553,0.03643841464852908,0.36460305379948177
2,1,Lisa Rinna,rank,19.0,False,0.10390695377359903,0.013039234594930192,0.2300400827148676
2,1,Stacy Keibler,rank,22.0,False,0.08062706998919242,0.00032383944207615284,0.18646160184481492
2,1,Jerry Rice,rank,21.0,False,0.12929916478172593,0.006729856813195514,0.3077711951815318
2,1,Giselle Fernandez,rank,23.0,False,0.10077534236647724,0.0007204897117002868,0.23098760155652065
2,1,Master P,rank,12.0,False,0.1299509497137285,0.030534873926941618,0.2636471970868949
2,1,Drew Lachey,rank,24.0,False,0.08025002152904824,-0.014761115737175685,0.21033861041187973
2,1,Kenny Mayne,rank,13.0,True,0.030843757451367478,-0.021704977740638773,0.08490698389964743
2,2,Tatum O'Neal,rank,17.0,True,0.03570332021647077,-0.009215239006037717,0.08870095762995106
2,2,Tia Carrere,rank,22.0,False,0.13798552930095445,0.025513326593237084,0.2952967838261116
